resultId,positionOrder,statusId,fastest_time_delta,fastest_speed_delta,avg_time_delta,avg_speed_delta,gained_pos,win,current_id,winner_fastest_lap_delta,winner_fastest_speed_delta,actual_result,winner_delta
7660.0,7.0,1.0,1.0028874045293663,0.9971185879205704,0.9887833547608427,1.0111673363730256,-2.0,0.0,7.0,0.18099999999999739,-0.38399999999998613,5.0,37839
7661.0,8.0,1.0,1.0136253559358117,0.9865554937465232,0.9993702936006087,1.0004554151138867,-6.0,0.0,7.0,0.9879999999999995,-2.073999999999984,10.0,63142
7662.0,9.0,1.0,1.0168321047449238,0.9834490690101316,1.0025319444808858,0.9973052228856074,-4.0,0.0,7.0,1.2289999999999992,-2.570999999999998,18.0,65040
7663.0,10.0,11.0,1.0121350826303324,0.9880118256651936,0.9979009786686958,1.0019322657963599,-10.0,0.0,7.0,0.8760000000000048,-1.8409999999999798,20.0,12218644
7664.0,11.0,11.0,1.0148228969848578,0.9853929283522197,1.0005509930994674,0.9992764699338869,-5.0,0.0,7.0,1.078000000000003,-2.259999999999991,8.0,12218644
7665.0,12.0,11.0,1.0073449184341485,0.9927058397034834,0.9931781806732611,1.006692415420983,-7.0,0.0,7.0,0.5160000000000053,-1.089999999999975,11.0,12218644
7666.0,13.0,11.0,1.0114032519892486,0.9887243657455732,0.9971794400860599,1.0026548451002306,-5.0,0.0,7.0,0.820999999999998,-1.7269999999999754,13.0,12218644
7667.0,14.0,11.0,1.0145168587167683,0.985692945228169,1.0002492587830925,0.9995807138513062,-1.0,0.0,7.0,1.0550000000000068,-2.211999999999989,4.0,12218644
7668.0,15.0,3.0,1.0084892354365702,0.9915807764186735,0.9943064046388371,1.0055515007306606,5.0,0.0,7.0,0.6020000000000039,-1.2699999999999818,17.0,12218644
7669.0,16.0,3.0,1.0068925140378424,0.993155865017407,0.9927321386403589,1.0071487812971118,9.0,0.0,7.0,0.4819999999999993,-1.0180000000000007,12.0,12218644
7670.0,17.0,23.0,1.031987652021183,0.9690045065034908,1.017474352583108,0.9826571459448562,0.0,0.0,7.0,2.367999999999995,-4.881999999999977,14.0,12218644
7671.0,18.0,3.0,1.0329989089070442,0.9680544530629847,1.0184713877154776,0.9816937068730283,14.0,0.0,7.0,2.4440000000000026,-5.033999999999992,7.0,12218644
7672.0,19.0,4.0,1.0447081991643825,0.9572038427161528,1.0300160050376512,0.9706902185263626,7.0,0.0,7.0,3.323999999999998,-6.769999999999982,3.0,12218644
7673.0,20.0,4.0,1.045613007956995,0.9563787963072922,1.0309080891034554,0.9698535477534594,9.0,0.0,7.0,3.391999999999996,-6.901999999999987,16.0,12218644
7674.0,1.0,1.0,1.0,1.0,0.9888507442716741,1.0110545937778916,-1.0,1.0,8.0,0.0,0.0,0.0,0
7675.0,2.0,1.0,1.0026262003448314,0.9973794788125165,0.9914476644372671,1.0084051037931943,-2.0,0.0,8.0,0.22999999999998977,-0.5749999999999886,6.0,6714
7676.0,3.0,1.0,1.0004909852818598,0.9995077977595683,0.9893362554330675,1.0105569504416354,2.0,0.0,8.0,0.042999999999992156,-0.10800000000000409,2.0,7461
7677.0,4.0,1.0,1.0032998778245925,0.9967095368741511,0.9921138309145279,1.0077277559188453,-1.0,0.0,8.0,0.28899999999998727,-0.7220000000000084,1.0,27843
